detail_url,homepage_label,gnavi_url,accessed_url,adopted_url,adopted_reason,fail_reason,ssl,ssl_reason
https://r.gnavi.co.jp/cws7pkpz0000/,オフィシャルページ,https://gjgj000.gorp.jp/,https://gjgj000.gorp.jp/,https://gjgj000.gorp.jp/,final_url,,True,証明書を確認できた
https://r.gnavi.co.jp/dy1ft47z0000/,オフィシャルページ,https://gfhf110.gorp.jp/,https://gfhf110.gorp.jp/,https://gfhf110.gorp.jp/,final_url,,True,証明書を確認できた
https://r.gnavi.co.jp/ehfguxsn0000/,オフィシャルページ,https://gfx9108.gorp.jp/,https://gfx9108.gorp.jp/,https://gfx9108.gorp.jp/,final_url,,True,証明書を確認できた
https://r.gnavi.co.jp/fhymm4ce0000/,オフィシャルページ,https://gh29905.gorp.jp/,https://gh29905.gorp.jp/,https://gh29905.gorp.jp/,final_url,,True,証明書を確認できた
https://r.gnavi.co.jp/81gf1csx0000/,オフィシャルページ,https://waraukadonihauokitaru.gorp.jp/,https://waraukadonihauokitaru.gorp.jp/,https://waraukadonihauokitaru.gorp.jp/,final_url,,True,証明書を確認できた
https://r.gnavi.co.jp/6400hkse0000/,オフィシャルページ,https://g384436.gorp.jp/,https://g384436.gorp.jp/,https://g384436.gorp.jp/,final_url,,True,証明書を確認できた
https://r.gnavi.co.jp/bu1nrp450000/,オフィシャルページ,https://gdf5822.gorp.jp/,https://gdf5822.gorp.jp/,https://gdf5822.gorp.jp/,final_url,,True,証明書を確認できた
https://r.gnavi.co.jp/hzjwygfn0000/,オフィシャルページ,https://gcd1116.gorp.jp/,https://gcd1116.gorp.jp/,https://gcd1116.gorp.jp/,final_url,,True,証明書を確認できた
https://r.gnavi.co.jp/g5bzupr60000/,オフィシャルページ,https://gjfv802.gorp.jp/,https://gjfv802.gorp.jp/,https://gjfv802.gorp.jp/,final_url,,True,証明書を確認できた
https://r.gnavi.co.jp/rzpy6dcy0000/,お店のホームページ,https://www.facebook.com/hanamicyou/,https://www.facebook.com/hanamicyou/,https://www.facebook.com/hanamicyou/,final_url,,True,証明書を確認できた
https://r.gnavi.co.jp/hdju29gu0000/,オフィシャルページ,https://ggxm420.gorp.jp/,https://ggxm420.gorp.jp/,https://ggxm420.gorp.jp/,final_url,,True,証明書を確認できた
https://r.gnavi.co.jp/re1asg5m0000/,オフィシャルページ,https://ggz9502.gorp.jp/,https://ggz9502.gorp.jp/,https://ggz9502.gorp.jp/,final_url,,True,証明書を確認できた
https://r.gnavi.co.jp/ga6t500/,オフィシャルページ,https://ga6t500.gorp.jp/,https://ga6t500.gorp.jp/,https://ga6t500.gorp.jp/,final_url,,True,証明書を確認できた
https://r.gnavi.co.jp/9ybdyacw0000/,お店のホームページ,https://jibundoki-hamamatsucho.com/,https://jibundoki.dkdining.com/hamamatsucho/,https://jibundoki.dkdining.com/hamamatsucho/,final_url,,True,証明書を確認できた
https://r.gnavi.co.jp/8p0e5g280000/,オフィシャルページ,https://gfm4704.gorp.jp/,https://gfm4704.gorp.jp/,https://gfm4704.gorp.jp/,final_url,,True,証明書を確認できた
https://r.gnavi.co.jp/kjkb4jg00000/,オフィシャルページ,https://gf3y404.gorp.jp/,https://gf3y404.gorp.jp/,https://gf3y404.gorp.jp/,final_url,,True,証明書を確認できた
https://r.gnavi.co.jp/3f3hb0u00000/,オフィシャルページ,https://gce9109.gorp.jp/,https://gce9109.gorp.jp/,https://gce9109.gorp.jp/,final_url,,True,証明書を確認できた
https://r.gnavi.co.jp/d5r04m190000/,オフィシャルページ,https://gg9t303.gorp.jp/,https://gg9t303.gorp.jp/,https://gg9t303.gorp.jp/,final_url,,True,証明書を確認できた
